"year","incident.date","incident.type","track","division","count"
"224",2010,2010-07-03,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"225",2010,2010-07-03,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"226",2010,2010-07-04,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"227",2010,2010-07-09,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"228",2010,2010-07-10,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"229",2010,2010-07-10,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"230",2010,2010-07-13,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"231",2010,2010-07-13,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"232",2010,2010-07-14,"EQUINE DEATH","Buffalo Raceway","Harness",1
"233",2010,2010-07-15,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"234",2010,2010-07-16,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"235",2010,2010-07-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"236",2010,2010-07-18,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"237",2010,2010-07-19,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"238",2010,2010-07-23,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"239",2010,2010-07-25,"EQUINE DEATH","Tioga Downs","Harness",1
"240",2010,2010-07-29,"EQUINE DEATH","Batavia Downs","Harness",1
"241",2010,2010-07-31,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"242",2010,2010-07-31,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"243",2010,2010-08-02,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"244",2010,2010-08-02,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"245",2010,2010-08-02,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"246",2010,2010-08-09,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"247",2010,2010-08-12,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"248",2010,2010-08-12,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"249",2010,2010-08-13,"EQUINE DEATH","Saratoga Gaming & Raceway","Harness",1
"250",2010,2010-08-14,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"251",2010,2010-08-15,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"252",2010,2010-08-16,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"253",2010,2010-08-17,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"254",2010,2010-08-18,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"255",2010,2010-08-19,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"256",2010,2010-08-19,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"257",2010,2010-08-20,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"258",2010,2010-08-20,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"259",2010,2010-08-22,"EQUINE DEATH","Tioga Downs","Harness",1
"260",2010,2010-08-22,"EQUINE DEATH","Vernon Downs","Harness",1
"261",2010,2010-08-23,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"262",2010,2010-08-24,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"263",2010,2010-08-26,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"264",2010,2010-08-26,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"265",2010,2010-08-27,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"266",2010,2010-08-28,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"267",2010,2010-08-29,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"268",2010,2010-08-29,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"269",2010,2010-08-30,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"270",2010,2010-08-31,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"271",2010,2010-08-31,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"272",2010,2010-09-01,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"273",2010,2010-09-02,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"274",2010,2010-09-03,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"275",2010,2010-09-03,"EQUINE DEATH","Saratoga Gaming & Raceway","Thoroughbred",1
"276",2010,2010-09-04,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"277",2010,2010-09-08,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"278",2010,2010-09-11,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"279",2010,2010-09-11,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"280",2010,2010-09-13,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"281",2010,2010-09-17,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"282",2010,2010-09-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"283",2010,2010-09-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"284",2010,2010-09-19,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"285",2010,2010-09-20,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
